Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinAlpha/bitcoinAlpha_0_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinAlpha/bitcoinAlpha_maxC_train0_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinAlpha/bitcoinAlpha_0_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_test0.edgelist', net_train='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_train0.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(3775, 64)
batch 0 loss: 0.71635502576828 	 early: 0
batch 1 loss: 0.6756038069725037 	 early: 0
batch 2 loss: 0.5586897730827332 	 early: 0
batch 3 loss: 0.3320836126804352 	 early: 0
batch 4 loss: 0.3855873644351959 	 early: 1
batch 5 loss: 0.35155820846557617 	 early: 2
batch 6 loss: 0.34135645627975464 	 early: 3
batch 7 loss: 0.299162894487381 	 early: 0
batch 8 loss: 0.2929235100746155 	 early: 0
batch 9 loss: 0.28628915548324585 	 early: 0
batch 10 loss: 0.28532660007476807 	 early: 0
batch 11 loss: 0.2819678485393524 	 early: 0
batch 12 loss: 0.27740663290023804 	 early: 0
batch 13 loss: 0.27428892254829407 	 early: 0
batch 14 loss: 0.2658831775188446 	 early: 0
batch 15 loss: 0.26329749822616577 	 early: 0
batch 16 loss: 0.26838070154190063 	 early: 1
batch 17 loss: 0.27231499552726746 	 early: 2
batch 18 loss: 0.2854653000831604 	 early: 3
batch 19 loss: 0.26240068674087524 	 early: 0
batch 20 loss: 0.24692657589912415 	 early: 0
batch 21 loss: 0.24061347544193268 	 early: 0
batch 22 loss: 0.23550765216350555 	 early: 0
batch 23 loss: 0.23277875781059265 	 early: 0
batch 24 loss: 0.2268867790699005 	 early: 0
batch 25 loss: 0.22749033570289612 	 early: 1
batch 26 loss: 0.22143320739269257 	 early: 0
batch 27 loss: 0.2226741462945938 	 early: 1
batch 28 loss: 0.22793768346309662 	 early: 2
batch 29 loss: 0.25619760155677795 	 early: 3
batch 30 loss: 0.2954769730567932 	 early: 4
batch 31 loss: 0.22476154565811157 	 early: 5
batch 32 loss: 0.2206260859966278 	 early: 0
batch 33 loss: 0.21453756093978882 	 early: 0
batch 34 loss: 0.21645204722881317 	 early: 1
batch 35 loss: 0.2145327925682068 	 early: 0
batch 36 loss: 0.21417203545570374 	 early: 0
batch 37 loss: 0.20970402657985687 	 early: 0
batch 38 loss: 0.21330104768276215 	 early: 1
batch 39 loss: 0.20864838361740112 	 early: 0
batch 40 loss: 0.21264076232910156 	 early: 1
batch 41 loss: 0.20499476790428162 	 early: 0
batch 42 loss: 0.20572127401828766 	 early: 1
batch 43 loss: 0.20397470891475677 	 early: 0
batch 44 loss: 0.20649407804012299 	 early: 1
batch 45 loss: 0.20473839342594147 	 early: 2
batch 46 loss: 0.2114231437444687 	 early: 3
batch 47 loss: 0.2109537571668625 	 early: 4
batch 48 loss: 0.21953947842121124 	 early: 5
batch 49 loss: 0.202117919921875 	 early: 0
batch 50 loss: 0.20543994009494781 	 early: 1
batch 51 loss: 0.20499299466609955 	 early: 2
batch 52 loss: 0.2016332745552063 	 early: 0
batch 53 loss: 0.20073826611042023 	 early: 0
batch 54 loss: 0.20192570984363556 	 early: 1
batch 55 loss: 0.19974417984485626 	 early: 0
batch 56 loss: 0.20551246404647827 	 early: 1
batch 57 loss: 0.2031804323196411 	 early: 2
batch 58 loss: 0.1993112713098526 	 early: 0
batch 59 loss: 0.20234155654907227 	 early: 1
batch 60 loss: 0.20306284725666046 	 early: 2
batch 61 loss: 0.20278207957744598 	 early: 3
batch 62 loss: 0.20156948268413544 	 early: 4
batch 63 loss: 0.19961681962013245 	 early: 5
batch 64 loss: 0.2018999308347702 	 early: 6
batch 65 loss: 0.19456972181797028 	 early: 0
batch 66 loss: 0.19272039830684662 	 early: 0
batch 67 loss: 0.18945997953414917 	 early: 0
batch 68 loss: 0.18800576031208038 	 early: 0
batch 69 loss: 0.18858757615089417 	 early: 1
batch 70 loss: 0.1897972673177719 	 early: 2
batch 71 loss: 0.18858902156352997 	 early: 3
batch 72 loss: 0.1887243539094925 	 early: 4
batch 73 loss: 0.19287076592445374 	 early: 5
batch 74 loss: 0.1901264786720276 	 early: 6
batch 75 loss: 0.1877727061510086 	 early: 0
batch 76 loss: 0.18813207745552063 	 early: 1
batch 77 loss: 0.1864306777715683 	 early: 0
batch 78 loss: 0.18455807864665985 	 early: 0
batch 79 loss: 0.18500465154647827 	 early: 1
batch 80 loss: 0.18524445593357086 	 early: 2
batch 81 loss: 0.1858123242855072 	 early: 3
batch 82 loss: 0.1887352466583252 	 early: 4
