Namespace(alpha=0.2, att_dropout=0.4, cuda_available=True, cuda_device=0, embedding_path='logging/epinions/epinions_1_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/epinions/epinions_maxC_train1_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/epinions/epinions_1_model.pkl', modify_input_features=True, net_test='data/train_test/epinions/epinions_maxC_test1.edgelist', net_train='data/train_test/epinions/epinions_maxC_train1.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(45003, 64)
batch 0 loss: 0.7141848802566528 	 early: 0
batch 1 loss: 0.6682385206222534 	 early: 0
batch 2 loss: 0.5310792326927185 	 early: 0
batch 3 loss: 0.35738280415534973 	 early: 0
batch 4 loss: 0.3776717483997345 	 early: 1
batch 5 loss: 0.35088422894477844 	 early: 0
batch 6 loss: 0.3463650643825531 	 early: 0
batch 7 loss: 0.3126620650291443 	 early: 0
batch 8 loss: 0.306376188993454 	 early: 0
batch 9 loss: 0.3036046624183655 	 early: 0
batch 10 loss: 0.2950585186481476 	 early: 0
batch 11 loss: 0.29093137383461 	 early: 0
batch 12 loss: 0.2840413749217987 	 early: 0
batch 13 loss: 0.2823956310749054 	 early: 0
batch 14 loss: 0.2781887650489807 	 early: 0
batch 15 loss: 0.27797645330429077 	 early: 0
batch 16 loss: 0.27448570728302 	 early: 0
batch 17 loss: 0.2775367200374603 	 early: 1
batch 18 loss: 0.2725948393344879 	 early: 0
batch 19 loss: 0.2736736536026001 	 early: 1
batch 20 loss: 0.2683159410953522 	 early: 0
batch 21 loss: 0.2690322995185852 	 early: 1
batch 22 loss: 0.26487448811531067 	 early: 0
batch 23 loss: 0.26606062054634094 	 early: 1
batch 24 loss: 0.261048823595047 	 early: 0
batch 25 loss: 0.26302364468574524 	 early: 1
batch 26 loss: 0.25611603260040283 	 early: 0
batch 27 loss: 0.2566380202770233 	 early: 1
batch 28 loss: 0.2541927695274353 	 early: 0
batch 29 loss: 0.2574208974838257 	 early: 1
batch 30 loss: 0.25304120779037476 	 early: 0
batch 31 loss: 0.2538449466228485 	 early: 1
batch 32 loss: 0.24836264550685883 	 early: 0
batch 33 loss: 0.24972327053546906 	 early: 1
batch 34 loss: 0.245344877243042 	 early: 0
batch 35 loss: 0.2466670721769333 	 early: 1
batch 36 loss: 0.24170686304569244 	 early: 0
batch 37 loss: 0.2434343844652176 	 early: 1
batch 38 loss: 0.23957625031471252 	 early: 0
batch 39 loss: 0.24006567895412445 	 early: 1
batch 40 loss: 0.23693165183067322 	 early: 0
batch 41 loss: 0.23677951097488403 	 early: 0
batch 42 loss: 0.23506081104278564 	 early: 0
