Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/slashdot/slashdot_3_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/slashdot/slashdot_maxC_train3_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/slashdot/slashdot_3_model.pkl', modify_input_features=True, net_test='data/train_test/slashdot/slashdot_maxC_test3.edgelist', net_train='data/train_test/slashdot/slashdot_maxC_train3.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(37626, 64)
batch 0 loss: 0.6823216080665588 	 early: 0
batch 1 loss: 0.6447754502296448 	 early: 0
batch 2 loss: 0.5704502463340759 	 early: 0
batch 3 loss: 0.5465325713157654 	 early: 0
batch 4 loss: 0.5585882067680359 	 early: 1
batch 5 loss: 0.49853917956352234 	 early: 0
batch 6 loss: 0.48002201318740845 	 early: 0
batch 7 loss: 0.46392822265625 	 early: 0
batch 8 loss: 0.44349634647369385 	 early: 0
batch 9 loss: 0.4223388731479645 	 early: 0
batch 10 loss: 0.4113019108772278 	 early: 0
batch 11 loss: 0.4264437258243561 	 early: 1
batch 12 loss: 0.4410342872142792 	 early: 2
batch 13 loss: 0.4037090539932251 	 early: 0
batch 14 loss: 0.3809516727924347 	 early: 0
batch 15 loss: 0.3780299425125122 	 early: 0
batch 16 loss: 0.376289963722229 	 early: 0
batch 17 loss: 0.3739549219608307 	 early: 0
batch 18 loss: 0.3736823797225952 	 early: 0
batch 19 loss: 0.37151411175727844 	 early: 0
batch 20 loss: 0.36984431743621826 	 early: 0
batch 21 loss: 0.36872783303260803 	 early: 0
batch 22 loss: 0.36714112758636475 	 early: 0
batch 23 loss: 0.36607521772384644 	 early: 0
batch 24 loss: 0.3661130964756012 	 early: 1
batch 25 loss: 0.3682103753089905 	 early: 2
batch 26 loss: 0.38005682826042175 	 early: 3
batch 27 loss: 0.3803353011608124 	 early: 4
batch 28 loss: 0.3811798393726349 	 early: 5
batch 29 loss: 0.36821141839027405 	 early: 6
batch 30 loss: 0.3638441562652588 	 early: 0
batch 31 loss: 0.3617825508117676 	 early: 0
batch 32 loss: 0.3592941164970398 	 early: 0
batch 33 loss: 0.35844385623931885 	 early: 0
batch 34 loss: 0.358346164226532 	 early: 0
batch 35 loss: 0.35756716132164 	 early: 0
batch 36 loss: 0.3562706708908081 	 early: 0
batch 37 loss: 0.3550501763820648 	 early: 0
batch 38 loss: 0.3546677827835083 	 early: 0
batch 39 loss: 0.3540707528591156 	 early: 0
batch 40 loss: 0.3552546203136444 	 early: 1
batch 41 loss: 0.35933956503868103 	 early: 2
batch 42 loss: 0.37143585085868835 	 early: 3
batch 43 loss: 0.37268710136413574 	 early: 4
batch 44 loss: 0.37227052450180054 	 early: 5
batch 45 loss: 0.3585917055606842 	 early: 6
batch 46 loss: 0.35402965545654297 	 early: 0
batch 47 loss: 0.35149967670440674 	 early: 0
batch 48 loss: 0.350652813911438 	 early: 0
batch 49 loss: 0.3499149978160858 	 early: 0
batch 50 loss: 0.34917640686035156 	 early: 0
batch 51 loss: 0.3481405973434448 	 early: 0
batch 52 loss: 0.348450630903244 	 early: 1
batch 53 loss: 0.3475913107395172 	 early: 0
batch 54 loss: 0.34763291478157043 	 early: 1
batch 55 loss: 0.3472714126110077 	 early: 0
batch 56 loss: 0.34896034002304077 	 early: 1
batch 57 loss: 0.35106968879699707 	 early: 2
batch 58 loss: 0.35210713744163513 	 early: 3
batch 59 loss: 0.3537050783634186 	 early: 4
batch 60 loss: 0.35475823283195496 	 early: 5
batch 61 loss: 0.3515442907810211 	 early: 6
batch 62 loss: 0.3489696681499481 	 early: 7
batch 63 loss: 0.3452190160751343 	 early: 0
batch 64 loss: 0.3442420959472656 	 early: 0
batch 65 loss: 0.34442901611328125 	 early: 1
batch 66 loss: 0.3436709940433502 	 early: 0
batch 67 loss: 0.3433443605899811 	 early: 0
batch 68 loss: 0.3425562083721161 	 early: 0
batch 69 loss: 0.34190309047698975 	 early: 0
batch 70 loss: 0.34184280037879944 	 early: 0
batch 71 loss: 0.3419424593448639 	 early: 1
batch 72 loss: 0.34305045008659363 	 early: 2
batch 73 loss: 0.3436491787433624 	 early: 3
batch 74 loss: 0.3475203514099121 	 early: 4
batch 75 loss: 0.34868964552879333 	 early: 5
batch 76 loss: 0.3511168658733368 	 early: 6
batch 77 loss: 0.3470710813999176 	 early: 7
batch 78 loss: 0.34610581398010254 	 early: 8
batch 79 loss: 0.3431652784347534 	 early: 9
batch 80 loss: 0.34152719378471375 	 early: 0
batch 81 loss: 0.34073665738105774 	 early: 0
batch 82 loss: 0.33936384320259094 	 early: 0
batch 83 loss: 0.3392408788204193 	 early: 0
batch 84 loss: 0.3386995494365692 	 early: 0
batch 85 loss: 0.3379060924053192 	 early: 0
batch 86 loss: 0.3377752900123596 	 early: 0
batch 87 loss: 0.33807528018951416 	 early: 1
batch 88 loss: 0.3375339210033417 	 early: 0
batch 89 loss: 0.33830562233924866 	 early: 1
batch 90 loss: 0.33852261304855347 	 early: 2
batch 91 loss: 0.33871835470199585 	 early: 3
batch 92 loss: 0.3404769003391266 	 early: 4
batch 93 loss: 0.34019699692726135 	 early: 5
batch 94 loss: 0.3410036265850067 	 early: 6
batch 95 loss: 0.3398172855377197 	 early: 7
batch 96 loss: 0.3392029106616974 	 early: 8
batch 97 loss: 0.33931171894073486 	 early: 9
batch 98 loss: 0.33925577998161316 	 early: 10
batch 99 loss: 0.3378525674343109 	 early: 11
batch 100 loss: 0.3367210030555725 	 early: 0
batch 101 loss: 0.3360413610935211 	 early: 0
batch 102 loss: 0.3352116048336029 	 early: 0
batch 103 loss: 0.3351978659629822 	 early: 0
batch 104 loss: 0.33525705337524414 	 early: 1
batch 105 loss: 0.3345681428909302 	 early: 0
batch 106 loss: 0.33464550971984863 	 early: 1
batch 107 loss: 0.3345389664173126 	 early: 0
batch 108 loss: 0.3356073498725891 	 early: 1
batch 109 loss: 0.33604779839515686 	 early: 2
batch 110 loss: 0.3369297385215759 	 early: 3
batch 111 loss: 0.3375151753425598 	 early: 4
batch 112 loss: 0.3391006886959076 	 early: 5
batch 113 loss: 0.3394792377948761 	 early: 6
batch 114 loss: 0.33912038803100586 	 early: 7
batch 115 loss: 0.3372550904750824 	 early: 8
batch 116 loss: 0.3362390995025635 	 early: 9
batch 117 loss: 0.3347141444683075 	 early: 10
batch 118 loss: 0.33448997139930725 	 early: 0
batch 119 loss: 0.333599716424942 	 early: 0
batch 120 loss: 0.3327736556529999 	 early: 0
batch 121 loss: 0.3327634036540985 	 early: 0
batch 122 loss: 0.33182811737060547 	 early: 0
batch 123 loss: 0.3316480815410614 	 early: 0
batch 124 loss: 0.33184146881103516 	 early: 1
batch 125 loss: 0.3323526084423065 	 early: 2
batch 126 loss: 0.3318631649017334 	 early: 3
batch 127 loss: 0.3321557343006134 	 early: 4
batch 128 loss: 0.3326795995235443 	 early: 5
batch 129 loss: 0.33343324065208435 	 early: 6
batch 130 loss: 0.33415961265563965 	 early: 7
batch 131 loss: 0.33583399653434753 	 early: 8
batch 132 loss: 0.3363097608089447 	 early: 9
batch 133 loss: 0.33585938811302185 	 early: 10
batch 134 loss: 0.3362200856208801 	 early: 11
batch 135 loss: 0.33457455039024353 	 early: 12
batch 136 loss: 0.33513563871383667 	 early: 13
batch 137 loss: 0.3334288001060486 	 early: 14
batch 138 loss: 0.3326449692249298 	 early: 15
batch 139 loss: 0.3330489695072174 	 early: 16
batch 140 loss: 0.33198243379592896 	 early: 17
batch 141 loss: 0.3312157094478607 	 early: 0
batch 142 loss: 0.33126702904701233 	 early: 1
batch 143 loss: 0.3314090669155121 	 early: 2
batch 144 loss: 0.3311628997325897 	 early: 0
batch 145 loss: 0.33123132586479187 	 early: 1
batch 146 loss: 0.33169060945510864 	 early: 2
batch 147 loss: 0.3311549127101898 	 early: 0
batch 148 loss: 0.3305162787437439 	 early: 0
batch 149 loss: 0.33027583360671997 	 early: 0
batch 150 loss: 0.3301338851451874 	 early: 0
batch 151 loss: 0.33055979013442993 	 early: 1
batch 152 loss: 0.33098340034484863 	 early: 2
batch 153 loss: 0.33138900995254517 	 early: 3
batch 154 loss: 0.3309052288532257 	 early: 4
batch 155 loss: 0.3319188356399536 	 early: 5
batch 156 loss: 0.33184319734573364 	 early: 6
batch 157 loss: 0.3325125575065613 	 early: 7
batch 158 loss: 0.33346453309059143 	 early: 8
batch 159 loss: 0.3330540657043457 	 early: 9
batch 160 loss: 0.33348870277404785 	 early: 10
batch 161 loss: 0.3323100507259369 	 early: 11
batch 162 loss: 0.3322486877441406 	 early: 12
batch 163 loss: 0.3313198983669281 	 early: 13
batch 164 loss: 0.3311079442501068 	 early: 14
batch 165 loss: 0.33015453815460205 	 early: 15
batch 166 loss: 0.32976430654525757 	 early: 0
batch 167 loss: 0.32864704728126526 	 early: 0
batch 168 loss: 0.32854098081588745 	 early: 0
batch 169 loss: 0.3286121189594269 	 early: 1
batch 170 loss: 0.3287583589553833 	 early: 2
batch 171 loss: 0.3290252089500427 	 early: 3
batch 172 loss: 0.3294216990470886 	 early: 4
batch 173 loss: 0.3292035162448883 	 early: 5
batch 174 loss: 0.32835081219673157 	 early: 0
batch 175 loss: 0.3288830518722534 	 early: 1
batch 176 loss: 0.3284427523612976 	 early: 2
batch 177 loss: 0.3276616632938385 	 early: 0
batch 178 loss: 0.32772567868232727 	 early: 1
batch 179 loss: 0.3280676603317261 	 early: 2
batch 180 loss: 0.3284819722175598 	 early: 3
batch 181 loss: 0.32835498452186584 	 early: 4
batch 182 loss: 0.32770270109176636 	 early: 5
batch 183 loss: 0.3282100558280945 	 early: 6
batch 184 loss: 0.32826247811317444 	 early: 7
batch 185 loss: 0.32837727665901184 	 early: 8
batch 186 loss: 0.3291216492652893 	 early: 9
batch 187 loss: 0.32985979318618774 	 early: 10
batch 188 loss: 0.3305659890174866 	 early: 11
batch 189 loss: 0.3298390209674835 	 early: 12
batch 190 loss: 0.3301190137863159 	 early: 13
batch 191 loss: 0.33014652132987976 	 early: 14
batch 192 loss: 0.32958167791366577 	 early: 15
batch 193 loss: 0.3289015293121338 	 early: 16
batch 194 loss: 0.32882678508758545 	 early: 17
batch 195 loss: 0.32763412594795227 	 early: 0
batch 196 loss: 0.32732880115509033 	 early: 0
batch 197 loss: 0.32740518450737 	 early: 1
batch 198 loss: 0.3268961012363434 	 early: 0
batch 199 loss: 0.3266436457633972 	 early: 0
[[12707  8398]
 [ 4361 58347]]
mlp_dir f1_mi 0.8477682459761612 f1_ma 0.7835988263846922 f1_wt 0.8420922611626038 f1_bi 0.9014391323491924 auc_p 0.9007437884011751 auc_l 0.766270129153272
[[ 25444  16766]
 [  8755 116661]]
mlp_dou f1_mi 0.8477503489912066 f1_ma 0.7836991985223902 f1_wt 0.8421251501093571 f1_bi 0.9014035535054068 auc_p 0.9007712421665295 auc_l 0.766493933019152
batch 200 loss: 0.3265286684036255 	 early: 0
batch 201 loss: 0.32661518454551697 	 early: 1
batch 202 loss: 0.32649123668670654 	 early: 0
batch 203 loss: 0.32717984914779663 	 early: 1
batch 204 loss: 0.32731616497039795 	 early: 2
batch 205 loss: 0.32799965143203735 	 early: 3
batch 206 loss: 0.3281714916229248 	 early: 4
batch 207 loss: 0.32912275195121765 	 early: 5
batch 208 loss: 0.3292742371559143 	 early: 6
batch 209 loss: 0.3287040889263153 	 early: 7
batch 210 loss: 0.3286247253417969 	 early: 8
batch 211 loss: 0.3275766670703888 	 early: 9
batch 212 loss: 0.32761016488075256 	 early: 10
batch 213 loss: 0.327401340007782 	 early: 11
batch 214 loss: 0.327425479888916 	 early: 12
batch 215 loss: 0.3272656202316284 	 early: 13
batch 216 loss: 0.32762202620506287 	 early: 14
batch 217 loss: 0.32783347368240356 	 early: 15
batch 218 loss: 0.32773301005363464 	 early: 16
batch 219 loss: 0.32627052068710327 	 early: 0
batch 220 loss: 0.3258632719516754 	 early: 0
batch 221 loss: 0.32591938972473145 	 early: 1
batch 222 loss: 0.325547456741333 	 early: 0
batch 223 loss: 0.3260945975780487 	 early: 1
batch 224 loss: 0.32628217339515686 	 early: 2
batch 225 loss: 0.3259342610836029 	 early: 3
batch 226 loss: 0.3257816731929779 	 early: 4
batch 227 loss: 0.3261142671108246 	 early: 5
batch 228 loss: 0.3264124393463135 	 early: 6
batch 229 loss: 0.3269137144088745 	 early: 7
batch 230 loss: 0.3261645436286926 	 early: 8
batch 231 loss: 0.325693279504776 	 early: 9
batch 232 loss: 0.3258362114429474 	 early: 10
batch 233 loss: 0.3258420526981354 	 early: 11
batch 234 loss: 0.32532477378845215 	 early: 0
batch 235 loss: 0.3249753415584564 	 early: 0
batch 236 loss: 0.3249994218349457 	 early: 1
batch 237 loss: 0.32473936676979065 	 early: 0
batch 238 loss: 0.3250502347946167 	 early: 1
batch 239 loss: 0.32565104961395264 	 early: 2
batch 240 loss: 0.32534992694854736 	 early: 3
batch 241 loss: 0.324844628572464 	 early: 4
batch 242 loss: 0.3249809443950653 	 early: 5
batch 243 loss: 0.32472944259643555 	 early: 0
batch 244 loss: 0.32454195618629456 	 early: 0
batch 245 loss: 0.32434141635894775 	 early: 0
batch 246 loss: 0.3248041570186615 	 early: 1
batch 247 loss: 0.32531458139419556 	 early: 2
batch 248 loss: 0.32469871640205383 	 early: 3
batch 249 loss: 0.3252793550491333 	 early: 4
batch 250 loss: 0.3255339562892914 	 early: 5
batch 251 loss: 0.3252410888671875 	 early: 6
batch 252 loss: 0.32469552755355835 	 early: 7
batch 253 loss: 0.3253759443759918 	 early: 8
batch 254 loss: 0.3247394859790802 	 early: 9
batch 255 loss: 0.32415062189102173 	 early: 0
batch 256 loss: 0.32414400577545166 	 early: 0
batch 257 loss: 0.3243924677371979 	 early: 1
batch 258 loss: 0.32516247034072876 	 early: 2
batch 259 loss: 0.3244830071926117 	 early: 3
batch 260 loss: 0.3248894214630127 	 early: 4
batch 261 loss: 0.32457125186920166 	 early: 5
batch 262 loss: 0.3242233097553253 	 early: 6
batch 263 loss: 0.3238603174686432 	 early: 0
batch 264 loss: 0.32459577918052673 	 early: 1
batch 265 loss: 0.32461804151535034 	 early: 2
batch 266 loss: 0.3245852589607239 	 early: 3
batch 267 loss: 0.324253648519516 	 early: 4
batch 268 loss: 0.3241812586784363 	 early: 5
batch 269 loss: 0.32435178756713867 	 early: 6
batch 270 loss: 0.3242753744125366 	 early: 7
batch 271 loss: 0.3245895206928253 	 early: 8
batch 272 loss: 0.3247082829475403 	 early: 9
batch 273 loss: 0.32463163137435913 	 early: 10
batch 274 loss: 0.32431650161743164 	 early: 11
batch 275 loss: 0.3246995210647583 	 early: 12
batch 276 loss: 0.3247477412223816 	 early: 13
batch 277 loss: 0.3237416446208954 	 early: 0
batch 278 loss: 0.3240640163421631 	 early: 1
batch 279 loss: 0.32404622435569763 	 early: 2
batch 280 loss: 0.3240419030189514 	 early: 3
batch 281 loss: 0.32318341732025146 	 early: 0
batch 282 loss: 0.32310137152671814 	 early: 0
batch 283 loss: 0.32316434383392334 	 early: 1
batch 284 loss: 0.32267168164253235 	 early: 0
batch 285 loss: 0.32236284017562866 	 early: 0
batch 286 loss: 0.3223516345024109 	 early: 0
batch 287 loss: 0.32336685061454773 	 early: 1
batch 288 loss: 0.3230103850364685 	 early: 2
batch 289 loss: 0.32267194986343384 	 early: 3
batch 290 loss: 0.32307183742523193 	 early: 4
batch 291 loss: 0.32309478521347046 	 early: 5
batch 292 loss: 0.3226672410964966 	 early: 6
batch 293 loss: 0.3226345479488373 	 early: 7
batch 294 loss: 0.32267144322395325 	 early: 8
